investorid,firstname,lastname,email,phonenumber,countryid,datejoined,riskprofile,investortype,status
INV0001,Arjun,Murphy,arjun.murphy@example.com,353846913810,C001,2024-05-16,Low,Individual,Active
INV0002,Priya,Singh,priya.singh@example.com,353821668732,C009,2025-05-14,Low,Individual,Active
INV0003,Daniel,Clark,daniel.clark@example.com,353885329037,C001,2024-02-12,High,Individual,Active
INV0004,Emma,Kelly,emma.kelly@example.com,353847338124,C010,2023-01-14,Low,Individual,Active
INV0005,David,Wilson,david.wilson@example.com,353823718431,C006,2023-07-09,Medium,Individual,Active
INV0006,Sophia,Taylor,sophia.taylor@example.com,353871662963,C001,2026-01-03,Low,Institutional,Active
INV0007,Daniel,Taylor,daniel.taylor@example.com,353858537831,C010,2026-03-28,Low,Individual,Active
INV0008,Emma,Gupta,emma.gupta@example.com,353820709497,C005,2024-04-21,Low,Individual,Active
INV0009,Nisha,Lee,nisha.lee@example.com,353859684848,C003,2024-12-28,Low,Individual,Active
INV0010,Arjun,Sharma,arjun.sharma@example.com,353891756179,C002,2023-12-17,High,Individual,Active
INV0011,James,Taylor,james.taylor@example.com,353839476249,C009,2024-10-26,Low,Individual,Active
INV0012,Anna,Martin,anna.martin@example.com,353818883684,C005,2024-03-08,High,Corporate,Active
INV0013,Arjun,Kelly,arjun.kelly@example.com,353896282117,C007,2025-07-28,Low,Individual,Active
INV0014,Daniel,Davis,daniel.davis@example.com,353888461803,C005,2025-05-27,High,Individual,Active
INV0015,David,Davis,david.davis@example.com,353822201654,C008,2023-04-07,Low,Individual,Active
INV0016,Arjun,Martin,arjun.martin@example.com,353818526544,C010,2025-02-27,Medium,Individual,Active
INV0017,Michael,Davis,michael.davis@example.com,353825374874,C001,2026-01-04,Medium,Corporate,Active
INV0018,Michael,Martin,michael.martin@example.com,353870897765,C003,2023-01-07,High,Corporate,Active
INV0019,Daniel,Gupta,daniel.gupta@example.com,353878139880,C003,2023-08-06,High,Individual,Active
INV0020,Sophia,Wilson,sophia.wilson@example.com,353860185867,C003,2023-11-27,High,Institutional,Inactive
INV0021,Meera,Smith,meera.smith@example.com,353853507489,C010,2025-09-27,Low,Individual,Active
INV0022,Nisha,Gupta,nisha.gupta@example.com,353842138745,C005,2023-04-29,Low,Corporate,Inactive
INV0023,Sarah,Patel,sarah.patel@example.com,353819289546,C008,2025-12-26,Low,Individual,Active
INV0024,Daniel,Brown,daniel.brown@example.com,353880823176,C005,2025-05-16,Low,Institutional,Active
INV0025,Priya,Wilson,priya.wilson@example.com,353863551839,C005,2025-02-03,Medium,Corporate,Active
INV0026,Emma,Wilson,emma.wilson@example.com,353855377076,C002,2023-02-13,High,Individual,Active
INV0027,John,Murphy,john.murphy@example.com,353840728046,C001,2023-05-19,Low,Corporate,Active
INV0028,Emma,Taylor,emma.taylor@example.com,353838754377,C008,2026-01-09,Low,Individual,Active
INV0029,Sophia,Kelly,sophia.kelly@example.com,353873481353,C004,2025-04-13,Low,Individual,Active
INV0030,Anna,Martin,anna.martin@example.com,353872682989,C007,2023-04-21,High,Individual,Active
INV0031,John,Martin,john.martin@example.com,353824665841,C006,2024-05-24,Low,Individual,Active
INV0032,James,Brown,james.brown@example.com,353872092888,C005,2024-05-26,Low,Individual,Active
INV0033,Daniel,Murphy,daniel.murphy@example.com,353897529405,C001,2026-01-12,Low,Institutional,Inactive
INV0034,Nisha,Wilson,nisha.wilson@example.com,353864547971,C003,2025-09-21,Medium,Individual,Active
INV0035,John,Brown,john.brown@example.com,353810289289,C007,2025-03-10,Medium,Institutional,Active
INV0036,Michael,Martin,michael.martin@example.com,353898834863,C009,2025-09-23,Low,Individual,Active
INV0037,John,Clark,john.clark@example.com,353818181586,C009,2024-10-04,Low,Individual,Active
INV0038,Meera,Rao,meera.rao@example.com,353831130263,C009,2023-04-27,High,Individual,Active
INV0039,Sophia,Murphy,sophia.murphy@example.com,353864193837,C004,2023-09-03,High,Individual,Active
INV0040,Sophia,Murphy,sophia.murphy@example.com,353898231132,C007,2026-04-10,High,Individual,Inactive
INV0041,Emma,Sharma,emma.sharma@example.com,353842035886,C006,2024-06-27,Medium,Individual,Active
INV0042,Olivia,Lee,olivia.lee@example.com,353811250299,C002,2025-07-27,High,Institutional,Inactive
INV0043,Sarah,Davis,sarah.davis@example.com,353877898694,C004,2024-06-27,Low,Institutional,Active
INV0044,Meera,Wilson,meera.wilson@example.com,353848250360,C006,2023-11-20,Medium,Corporate,Active
INV0045,Sophia,Gupta,sophia.gupta@example.com,353811049999,C009,2026-02-09,Medium,Institutional,Active
INV0046,Meera,Brown,meera.brown@example.com,353825492573,C005,2023-08-08,High,Individual,Active
INV0047,Sophia,Wilson,sophia.wilson@example.com,353837326368,C006,2024-06-24,High,Individual,Active
INV0048,Nisha,Smith,nisha.smith@example.com,353895132217,C002,2025-05-17,Medium,Individual,Active
INV0049,David,Sharma,david.sharma@example.com,353831687165,C005,2025-06-23,High,Individual,Active
INV0050,Sarah,Murphy,sarah.murphy@example.com,353883227889,C003,2023-03-15,Medium,Individual,Active
INV0051,David,Smith,david.smith@example.com,353858942697,C005,2023-03-23,Medium,Individual,Active
INV0052,Sarah,Lee,sarah.lee@example.com,353864543049,C009,2023-11-13,Low,Corporate,Inactive
